user,team,pctsuccess,pctfail,speed,edge
U986@DOM1,normal,0.999131824,0.000868176,0.340081956,19
U9936@DOM9,normal,1,0,0.375,3
U1164@DOM1,red,0.997995072,0.002004928,0.287354131,82
U9851@DOM1,normal,0.999640805,0.000359195,0.445761494,7
U9982@DOM1,normal,0.988534397,0.011465603,0.455633101,4
U9943@DOM1,normal,1,0,0.414746544,4
U9904@DOM9,normal,1,0,0,6
U9763@DOM1,red,0.997653959,0.002346041,0.137243402,4
U9945@DOM1,normal,0.999327052,0.000672948,0.425975774,3
U997@DOM1,normal,0.999642894,0.000357106,0.328537904,3
U9911@DOM1,normal,0.995705319,0.004294681,0.444995045,4
U9867@DOM1,normal,0.999394975,0.000605025,0.368673927,3
U9866@C20791,normal,0.496124031,0.503875969,0.310077519,3
U9860@DOM9,normal,1,0,0.368421053,3
U655@DOM1,red,0.998304067,0.001695933,0.418047557,29
U9849@DOM1,normal,0.93656678,0.06343322,0.461898878,3
U9876@DOM1,normal,0.997939303,0.002060697,0.436792806,5
U453@DOM1,red,0.998265328,0.001734672,0.28871405,65
U9881@DOM1,normal,0.998865746,0.001134254,0.428232625,3
U3549@DOM1,red,0.99974493,0.00025507,0.410661905,31
U984@DOM1,normal,0.999838064,0.000161936,0.079614204,14
U6691@DOM1,red,0.997634556,0.002365444,0.450462804,7
U987@DOM1,normal,0.999598474,0.000401526,0.438666934,3
U993@DOM1,normal,0.998447808,0.001552192,0.417927823,22
U20@DOM1,red,0.959311593,0.040688407,0.229627077,13
U9920@DOM9,normal,0.916666667,0.083333333,0.333333333,3
U6115@DOM1,red,0.999209445,0.000790555,0.42621482,3
U4353@DOM1,red,0.993135826,0.006864174,0.425740651,17
U9883@DOM9,normal,1,0,0.445378151,5
U983@DOM1,normal,0.998847351,0.001152649,0.39873977,11
U9985@DOM1,normal,0.998387468,0.001612532,0.298011211,8
U9819@DOM1,normal,1,0,0.244444444,3
U9918@DOM1,normal,0,1,0,3
U6764@DOM1,red,1,0,0.184733357,3
U9965@DOM1,normal,0.999969168,3.08317E-05,0.07504878,3
U9928@DOM1,normal,0.979865772,0.020134228,0.176733781,5
U9856@DOM1,normal,0.999916701,8.32986E-05,0.43090379,33
U7004@C2519,red,0.892857143,0.107142857,0.107142857,3
U1480@DOM1,red,0.997204834,0.002795166,0.350128451,35
U9809@DOM1,normal,0.994071146,0.005928854,0.428853755,8
U9914@DOM1,normal,0.929824561,0.070175439,0.235588972,3
U9910@DOM1,normal,0.993607716,0.006392284,0.383705282,11
U9959@C24059,normal,0,1,0,3
U9800@DOM1,normal,0.998687194,0.001312806,0.442415563,3
U9975@DOM9,normal,1,0,0.421052632,4
U2837@DOM1,red,0.994931774,0.005068226,0.407797271,4
U24@DOM1,red,0.995864415,0.004135585,0.501715523,93
U9853@DOM1,normal,0.996080188,0.003919812,0.369358271,3
U9961@DOM9,normal,1,0,0.285714286,4
U9824@DOM1,normal,1,0,0.128205128,8
U1289@DOM1,red,0.999322807,0.000677193,0.125709422,10
U8777@C1500,red,1,0,0,3
U9943@DOM9,normal,1,0,0.421052632,3
U9883@DOM1,normal,0.93279037,0.06720963,0.376842055,7
U9925@DOM1,normal,1,0,0.259052925,4
U9952@DOM1,normal,1,0,0,3
U9832@DOM9,normal,1,0,0.303571429,13
U9959@DOM1,normal,0.999423033,0.000576967,0.401107778,6
U642@DOM1,red,0.99800269,0.00199731,0.333306159,9
U9815@DOM1,normal,1,0,0,3
U9918@C23070,normal,0.875,0.125,0.25,3
U5087@DOM1,red,0.950929784,0.049070216,0.382890727,5
U8777@DOM1,red,0.98447678,0.01552322,0.343098811,52
U9894@DOM1,normal,0.998868856,0.001131144,0.259066292,6
U8946@DOM1,red,0.99391419,0.00608581,0.440866214,34
U9846@DOM1,normal,0.999799406,0.000200594,0.385942389,8
U9913@DOM1,normal,1,0,0.193548387,3
U9810@DOM1,normal,1,0,0.065162907,3
U9805@DOM9,normal,1,0,0.25,3
U882@DOM1,red,0.999546122,0.000453878,0.340969163,5
U9938@DOM1,normal,0.998736097,0.001263903,0.452350859,4
U9976@DOM1,normal,0.999844018,0.000155982,0.569723912,4
U9904@DOM1,normal,0.896551724,0.103448276,0,6
U9892@DOM1,normal,0.999393909,0.000606091,0.169907571,4
U9937@DOM1,normal,0.999932283,6.7717E-05,0.21028396,7
U7594@DOM1,red,0.9982153,0.0017847,0.44905492,4
U9848@DOM1,normal,0.998694304,0.001305696,0.413579239,18
U995@DOM1,normal,0.997138442,0.002861558,0.372059749,10
U9974@DOM21,normal,1,0,0,3
U9918@C20640,normal,0.888888889,0.111111111,0.333333333,3
U9978@DOM9,normal,1,0,0.358974359,4
U981@DOM1,normal,0.999470801,0.000529199,0.448480887,8
U9968@DOM1,normal,0.998407326,0.001592674,0.406082023,3
